CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-12-01 00:00,27.2,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-01-01 00:00,51.6,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-04-01 00:00,148.9,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-05-01 00:00,129.7,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-06-01 00:00,71.3,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-07-01 00:00,71.2,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-08-01 00:00,57.9,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-09-01 00:00,88.9,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-10-01 00:00,117.7,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-11-01 00:00,70.9,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2004-12-01 00:00,30.9,50,,900
